city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Casablanca,11,2,2,749000,76,https://www.avito.ma/fr/aïn_chock/appartements/Appartement_à_vendre_76_m²_à_Casablanca_55023349.htm,2024,1,76,,Aïn Chock,apartment,0,1,0,0,1,1,0,0,1,1
Meknès,11,2,3,720000,92,https://www.avito.ma/fr/hamria/appartements/Appartement_à_vendre_92_m²_à_Meknès_55693186.htm,2024,3,92,,Hamria,apartment,1,0,0,0,1,1,0,1,1,0
Kénitra,11,2,3,970000,122,https://www.avito.ma/fr/mimosas/appartements/Appartement_de_luxe_122_m²_à_Kénitra_55664939.htm,2024,1,122,200,Mimosas,apartment,1,1,1,1,1,1,0,1,1,0
Temara,11,2,3,980000,98,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_98_m²_à_Temara_55517106.htm,2024,3,98,1,Autre secteur,apartment,1,1,0,0,0,1,0,1,1,0
Rabat,11,2,2,,99,https://www.avito.ma/fr/hay_riad/appartements/Appts_à_Wifak_Témara_à_5min_Hay_Riad_53755248.htm,2024,1,99,,Hay Riad,apartment,1,1,0,1,1,1,0,1,1,1
Marrakech,11,2,1,1000000,66,https://www.avito.ma/fr/guéliz/appartements/Studio_proche_bd_Abdelkrim_Al_Khattabi__Marrakech__55708561.htm,2024,2,67,,Guéliz,studio,1,1,1,1,1,1,0,0,1,0
Bouznika,11,1,2,490000,65,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_en_Vente_à_Bouznika_49664981.htm,2024,2,65,,Autre secteur,apartment,1,1,0,0,1,1,0,0,1,0
Tanger,11,2,3,1100000,120,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_à_vendre_110_million__52666931.htm,2024,4,120,100,Val Fleuri,apartment,1,1,0,0,1,1,0,1,1,0
Tétouan,11,1,3,850000,,https://www.avito.ma/fr/al_azhar/appartements/Appartement_100m²_en_Vente_à_Tétouan_52222658.htm,2024,8,100,,Al Azhar,apartment,0,0,0,0,0,0,0,0,0,0
Rabat,11,3,4,4500000,315,https://www.avito.ma/fr/agdal/appartements/Magnifique_Duplex_à_Vendre_A_l_Agdal_55025778.htm,2024,1,315,,Agdal,duplex/triplex,1,1,1,1,1,1,0,1,1,1
