city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Tanger,10,2,2,11000,135,https://www.avito.ma/fr/aviation/appartements/Appartement_à_vendre_135_m²_à_Tanger_53687956.htm,2024,2,135,,Aviation,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,0,2,1620000,113,https://www.avito.ma/fr/bourgogne/appartements/7379_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de_1_54687691.htm,2024,1,103,2400,Bourgogne,apartment,1,0,1,1,0,1,0,1,0,1
Tanger,10,2,2,,96,https://www.avito.ma/fr/sania/appartements/Nouveau_projet_à_malabta_hills_55482283.htm,2024,2,77,,Sania,apartment,0,0,0,0,0,0,0,0,0,0
Bouskoura,10,3,3,3090000,245,https://www.avito.ma/fr/ville_verte/appartements/CMN_NO_BO_1025___Appartement_à_vendre_à_Ville_Verte_54561942.htm,2024,2,245,,Ville verte,apartment,1,1,0,0,0,0,0,1,0,1
Casablanca,10,2,2,1500000,74,https://www.avito.ma/fr/bourgogne/appartements/47825_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de__54972850.htm,2024,5,74,4200,Bourgogne,apartment,1,0,1,0,0,1,0,1,0,1
El Jadida,10,1,2,250000,,https://www.avito.ma/fr/centre/appartements/Appartement_à_vendre_60_m²_à_El_Jadida_55294611.htm,2024,3,60,,Centre,apartment,0,0,0,0,0,0,0,0,0,0
Taroudant,10,1,3,,,https://www.avito.ma/fr/taroudant/appartements/شقة_للبيع_130_متر_في_تارودانت_على_الطريق_الرئيسي_55645200.htm,2024,1,130,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Mohammedia,10,1,2,,75,https://www.avito.ma/fr/mimosas/appartements/appart_avec_piscines_offrant_vue_directe_sur_mer_55392211.htm,2024,3,75,,Mimosas,apartment,0,0,0,0,0,0,0,0,0,0
Temara,10,2,2,750000,98,https://www.avito.ma/fr/skikina/appartements/Appartement_à_vendre_98_m²_à_Temara_36996024.htm,2024,4,98,,Skikina,apartment,0,1,0,0,1,1,0,0,1,0
Kénitra,10,2,2,450000,78,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_78m²___alliance_Kénitra_53886408.htm,2024,0,78,,Autre secteur,apartment,0,1,0,0,0,1,0,0,0,1
Marrakech,10,2,2,711000,79,https://www.avito.ma/fr/guéliz/appartements/Appartement_79_m²_avec_piscine_à_Gueliz_32297476.htm,2024,3,79,300,Guéliz,apartment,1,0,0,0,0,0,0,1,1,0
Cabo Negro,10,1,2,1130000,61,https://www.avito.ma/fr/cabo_negro/appartements/Appartement_à_vendre_61_m²_à_Cabo_Negro_55544064.htm,2024,1,61,6100,Toute la ville,apartment,0,0,0,1,1,1,1,1,1,1
Tanger,10,2,3,950000,,https://www.avito.ma/fr/marjane/appartements/Appartement_à_vendre_86_m²_à_Tanger_53729152.htm,2024,4,86,,Marjane,apartment,0,0,0,0,0,0,0,0,0,0
Meknès,10,3,3,730000,132,https://www.avito.ma/fr/ville_nouvelle/appartements/apprendre_bien_située_et_en_bon_état__55611444.htm,2024,3,126,200,Ville Nouvelle,apartment,0,0,0,0,0,0,0,0,0,0
Martil,10,1,1,800000,,https://www.avito.ma/fr/martil/appartements/شقة_فاخرة__للبيع_بمرتيل___كابو__55622524.htm,2024,2,50,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Fès,10,2,3,620000,121,https://www.avito.ma/fr/route_d'immouzere/appartements/Appartement_à_vendre_121_m²_à_Fès_53017238.htm,2024,2,121,120,Route d'Immouzere,apartment,1,0,0,0,1,0,0,1,1,0
Kénitra,10,2,2,595000,76,https://www.avito.ma/fr/mimosas/appartements/joli_appartement_de_76_m__Mimosas_55344835.htm,2024,8,76,150,Mimosas,apartment,1,0,0,0,1,0,0,1,1,0
Berrechid,10,2,3,400000,55,https://www.avito.ma/fr/berrechid/appartements/Appartement_à_vendre_56_76_et_126_m²_à_Berrechid_55041834.htm,2024,1,55,,Toute la ville,apartment,1,1,0,0,1,1,0,1,1,1
Casablanca,10,2,3,2500000,143,https://www.avito.ma/fr/ferme_bretone/appartements/CMN_HA_1289___Appartement_à_vendre_à_Ferme_Bretonne_54561895.htm,2024,1,143,,Ferme Bretone,apartment,1,1,0,0,0,0,0,1,0,1
El Jadida,10,1,3,760000,96,https://www.avito.ma/fr/quartier_aérodrome/appartements/Appartement_a_vendre_96_m²___55190118.htm,2024,3,96,100,Quartier Aérodrome,apartment,1,0,0,0,0,0,0,1,0,0
Mohammedia,10,0,2,,60,https://www.avito.ma/fr/nassim/appartements/appartement_à_vendre_nassim_mohammedia_55645067.htm,2024,3,60,,Nassim,apartment,0,0,0,0,0,0,0,0,0,0
Mohammedia,10,3,4,900000,196,https://www.avito.ma/fr/el_alia/appartements/duplex_196_m²_à_bd_palestine_hay_houria_55314818.htm,2024,2,146,,El Alia,duplex/triplex,0,1,0,0,0,0,0,0,0,1
Tanger,10,1,2,820000,68,https://www.avito.ma/fr/mesnana/appartements/Appartement_à_vendre_68_m²_à_Tanger_55427387.htm,2024,4,68,,Mesnana,apartment,0,0,0,0,0,0,0,0,0,0
