city,neighborhood,price,type,url,year,month,n_bedrooms,n_bathrooms,living_area,total_area,floor,syndicate_price_per_month,bool_security,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equiped_kitchen,bool_furniture,bool_parking,bool_terrace
Casablanca,Sidi moumen,1200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sidi-moumen-CI068229,2024,11,3,2,120,120,1,,0,0,1,0,0,0,0,0,0,0
Casablanca,La gironde,1000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-la-gironde-CA007013,2024,11,2,2,96,108,3,200.0,1,1,0,0,0,0,0,0,1,0
Casablanca,Sidi maarouf,1200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sidi-maarouf-CA007562,2024,11,3,2,107,107,3,100.0,1,0,1,0,0,0,1,0,0,1
Bouznika,Plage oued cherrat,2100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-bouznika-plage-oued-cherrat-BA008101,2024,11,3,2,120,187,3,,1,0,1,0,0,1,1,0,0,0
Casablanca,Bourgogne (anfa),1620000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(anfa)-CA007379,2024,11,2,,103,113,1,200.0,0,1,0,0,1,1,1,0,1,1
Casablanca,Roches noires,814000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-roches-noires-CI068148,2024,11,2,1,74,74,2,,1,1,1,0,0,0,1,0,1,0
Casablanca,La gironde,1200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-la-gironde-DI068204,2024,11,2,2,90,90,2,,1,1,0,0,0,0,1,0,1,1
Bouznika,Plage oued cherrat,1800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-bouznika-plage-oued-cherrat-BA008097,2024,11,3,2,84,135,3,,1,1,1,0,0,1,1,0,0,0
Casablanca,Liberte,1100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-liberte-CA006687,2024,11,2,1,88,100,5,,0,1,1,0,0,1,1,0,1,1
Casablanca,Oulfa,730000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-oulfa-CA007008,2024,11,2,1,76,77,3,,0,0,1,0,0,0,0,0,1,0
Casablanca,El hank,2000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-el-hank-CA006443,2024,11,3,2,116,129,5,,1,1,1,0,0,0,1,0,1,0
Bouznika,Plage oued cherrat,3000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-bouznika-plage-oued-cherrat-BA008089,2024,11,3,2,155,252,2,,1,1,1,0,0,1,1,0,0,0
Casablanca,Derb ghalef,2250000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-ghalef-CA007050,2024,11,3,1,141,161,4,300.0,1,1,0,0,0,0,1,0,1,1
Casablanca,Bourgogne (anfa),1450000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(anfa)-CA007149,2024,11,2,2,100,120,0,200.0,0,1,0,0,0,1,1,0,1,1
Casablanca,Oulfa,1000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-oulfa-CA006691,2024,11,1,1,149,149,0,,0,0,0,0,0,0,0,0,0,1
Casablanca,Hopitaux,2500000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-hopitaux-CA006429,2024,11,5,3,152,162,1,25.0,0,1,1,1,1,1,0,0,1,1
Casablanca,Maarif extension,1190000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-extension-CA006879,2024,11,2,1,70,79,4,300.0,1,1,1,0,1,0,1,0,1,0
Casablanca,Hopitaux,4200000,duplex/triplex,https://yakeey.com/fr-ma/acheter-duplex-casablanca-hopitaux-CD006551,2024,11,4,2,296,296,2,,0,1,1,0,0,1,1,0,1,1
Casablanca,Val fleury,2150000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA007872,2024,11,2,2,104,122,4,300.0,1,1,1,0,0,1,0,0,1,1
Casablanca,Triangle d'or,4800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-triangle-d'or-CA009040,2024,11,3,3,155,221,7,,1,1,0,0,0,1,1,0,1,1
Casablanca,Belvedere (roches noires),780000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-belvedere-(roches-noires)-CI068682,2024,11,2,1,76,76,4,,1,1,1,0,0,0,0,0,1,0
Casablanca,Ferme bretonne,2700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-ferme-bretonne-CA011382,2024,11,3,2,114,136,3,,1,1,1,0,0,0,1,0,1,1
